PC: 0x0000000080000360, INSTR: 0x006c1c13, REG x24: 0x44623cca83d0c0c0
PC: 0x0000000080000364, INSTR: 0x0031dcb7, REG x25: 0x000000000031d000
PC: 0x0000000080000368, INSTR: 0xf57c8c9b, REG x25: 0x000000000031cf57
PC: 0x000000008000036c, INSTR: 0x00ec9c93, REG x25: 0x0000000c73d5c000
PC: 0x0000000080000370, INSTR: 0x4b9c8c93, REG x25: 0x0000000c73d5c4b9
PC: 0x0000000080000374, INSTR: 0x00cc9c93, REG x25: 0x0000c73d5c4b9000
PC: 0x0000000080000378, INSTR: 0xa11c8c93, REG x25: 0x0000c73d5c4b8a11
PC: 0x000000008000037c, INSTR: 0x00dc9c93, REG x25: 0x18e7ab8971422000
PC: 0x0000000080000380, INSTR: 0x619c8c93, REG x25: 0x18e7ab8971422619
PC: 0x0000000080000384, INSTR: 0x03da1d37, REG x26: 0x0000000003da1000
PC: 0x0000000080000388, INSTR: 0x62bd0d1b, REG x26: 0x0000000003da162b
PC: 0x000000008000038c, INSTR: 0x00cd1d13, REG x26: 0x0000003da162b000
PC: 0x0000000080000390, INSTR: 0xcc3d0d13, REG x26: 0x0000003da162acc3
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0x0003da162acc3000
PC: 0x0000000080000398, INSTR: 0x985d0d13, REG x26: 0x0003da162acc2985
PC: 0x000000008000039c, INSTR: 0x00cd1d13, REG x26: 0x3da162acc2985000
PC: 0x00000000800003a0, INSTR: 0xfb2d0d13, REG x26: 0x3da162acc2984fb2
PC: 0x00000000800003a4, INSTR: 0xfac72db7, REG x27: 0xfffffffffac72000
PC: 0x00000000800003a8, INSTR: 0xc93d8d9b, REG x27: 0xfffffffffac71c93
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0xffffffac71c93000
PC: 0x00000000800003b0, INSTR: 0xa7dd8d93, REG x27: 0xffffffac71c92a7d
PC: 0x00000000800003b4, INSTR: 0x00cd9d93, REG x27: 0xfffac71c92a7d000
PC: 0x00000000800003b8, INSTR: 0x159d8d93, REG x27: 0xfffac71c92a7d159
PC: 0x00000000800003bc, INSTR: 0x00cd9d93, REG x27: 0xac71c92a7d159000
PC: 0x00000000800003c0, INSTR: 0x8ecd8d93, REG x27: 0xac71c92a7d1588ec
PC: 0x00000000800003c4, INSTR: 0xfdb5de37, REG x28: 0xfffffffffdb5d000
PC: 0x00000000800003c8, INSTR: 0x05fe0e1b, REG x28: 0xfffffffffdb5d05f
PC: 0x00000000800003cc, INSTR: 0x00de1e13, REG x28: 0xffffffb6ba0be000
PC: 0x00000000800003d0, INSTR: 0x757e0e13, REG x28: 0xffffffb6ba0be757
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0xfffb6ba0be757000
PC: 0x00000000800003d8, INSTR: 0x1efe0e13, REG x28: 0xfffb6ba0be7571ef
PC: 0x00000000800003dc, INSTR: 0x00ce1e13, REG x28: 0xb6ba0be7571ef000
PC: 0x00000000800003e0, INSTR: 0xbe3e0e13, REG x28: 0xb6ba0be7571eebe3
PC: 0x00000000800003e4, INSTR: 0xffce3eb7, REG x29: 0xffffffffffce3000
PC: 0x00000000800003e8, INSTR: 0xb17e8e9b, REG x29: 0xffffffffffce2b17
PC: 0x00000000800003ec, INSTR: 0x00ce9e93, REG x29: 0xfffffffce2b17000
PC: 0x00000000800003f0, INSTR: 0xd9de8e93, REG x29: 0xfffffffce2b16d9d
PC: 0x00000000800003f4, INSTR: 0x00de9e93, REG x29: 0xffff9c562db3a000
PC: 0x00000000800003f8, INSTR: 0xf03e8e93, REG x29: 0xffff9c562db39f03
PC: 0x00000000800003fc, INSTR: 0x00ce9e93, REG x29: 0xf9c562db39f03000
PC: 0x0000000080000400, INSTR: 0x091e8e93, REG x29: 0xf9c562db39f03091
PC: 0x0000000080000404, INSTR: 0x0019cf37, REG x30: 0x000000000019c000
PC: 0x0000000080000408, INSTR: 0x51ff0f1b, REG x30: 0x000000000019c51f
PC: 0x000000008000040c, INSTR: 0x00cf1f13, REG x30: 0x000000019c51f000
PC: 0x0000000080000410, INSTR: 0x20ff0f13, REG x30: 0x000000019c51f20f
PC: 0x0000000080000414, INSTR: 0x00ff1f13, REG x30: 0x0000ce28f9078000
PC: 0x0000000080000418, INSTR: 0xa0bf0f13, REG x30: 0x0000ce28f9077a0b
PC: 0x000000008000041c, INSTR: 0x00ff1f13, REG x30: 0x67147c83bd058000
PC: 0x0000000080000420, INSTR: 0x64bf0f13, REG x30: 0x67147c83bd05864b
PC: 0x0000000080000424, INSTR: 0xffebdfb7, REG x31: 0xffffffffffebd000
PC: 0x0000000080000428, INSTR: 0x4cff8f9b, REG x31: 0xffffffffffebd4cf
PC: 0x000000008000042c, INSTR: 0x00cf9f93, REG x31: 0xfffffffebd4cf000
PC: 0x0000000080000430, INSTR: 0x48ff8f93, REG x31: 0xfffffffebd4cf48f
