PC: 0x00000000800003cc, INSTR: 0x00ce1e13, REG x28: 0x6780ba67e2e71000
PC: 0x00000000800003d0, INSTR: 0x7c7e0e13, REG x28: 0x6780ba67e2e717c7
PC: 0x00000000800003d4, INSTR: 0x04a3deb7, REG x29: 0x0000000004a3d000
PC: 0x00000000800003d8, INSTR: 0x5e1e8e9b, REG x29: 0x0000000004a3d5e1
PC: 0x00000000800003dc, INSTR: 0x00ce9e93, REG x29: 0x0000004a3d5e1000
PC: 0x00000000800003e0, INSTR: 0xd31e8e93, REG x29: 0x0000004a3d5e0d31
PC: 0x00000000800003e4, INSTR: 0x00ce9e93, REG x29: 0x0004a3d5e0d31000
PC: 0x00000000800003e8, INSTR: 0xc19e8e93, REG x29: 0x0004a3d5e0d30c19
PC: 0x00000000800003ec, INSTR: 0x00ce9e93, REG x29: 0x4a3d5e0d30c19000
PC: 0x00000000800003f0, INSTR: 0xfd6e8e93, REG x29: 0x4a3d5e0d30c18fd6
PC: 0x00000000800003f4, INSTR: 0x1aaa8f37, REG x30: 0x000000001aaa8000
PC: 0x00000000800003f8, INSTR: 0xcb9f0f1b, REG x30: 0x000000001aaa7cb9
PC: 0x00000000800003fc, INSTR: 0x00ff1f13, REG x30: 0x00000d553e5c8000
PC: 0x0000000080000400, INSTR: 0x131f0f13, REG x30: 0x00000d553e5c8131
PC: 0x0000000080000404, INSTR: 0x00ff1f13, REG x30: 0x06aa9f2e40988000
PC: 0x0000000080000408, INSTR: 0xc5af0f13, REG x30: 0x06aa9f2e40987c5a
PC: 0x000000008000040c, INSTR: 0xfe90bfb7, REG x31: 0xfffffffffe90b000
PC: 0x0000000080000410, INSTR: 0x995f8f9b, REG x31: 0xfffffffffe90a995
PC: 0x0000000080000414, INSTR: 0x00cf9f93, REG x31: 0xffffffe90a995000
PC: 0x0000000080000418, INSTR: 0x5cff8f93, REG x31: 0xffffffe90a9955cf
PC: 0x000000008000041c, INSTR: 0x00cf9f93, REG x31: 0xfffe90a9955cf000
PC: 0x0000000080000420, INSTR: 0xc41f8f93, REG x31: 0xfffe90a9955cec41
PC: 0x0000000080000424, INSTR: 0x00df9f93, REG x31: 0xd21532ab9d882000
PC: 0x0000000080000428, INSTR: 0xb5af8f93, REG x31: 0xd21532ab9d881b5a
PC: 0x000000008000042c, INSTR: 0x40b3d31b, REG x6: 0xfffffffffff4bfc0
PC: 0x0000000080000430, INSTR: 0x240b8a93, REG x21: 0xa914b00648ff1096
PC: 0x0000000080000434, INSTR: 0x402f50bb, REG x1: 0x0000000040987c5a
PC: 0x0000000080000438, INSTR: 0x41775c3b, REG x24: 0x0000000000000143
PC: 0x000000008000043c, INSTR: 0x414bd03b
PC: 0x0000000080000440, INSTR: 0x012a51bb, REG x3: 0x000000000073a187
PC: 0x0000000080000444, INSTR: 0x00000d13, REG x26: 0x0000000000000000
PC: 0x0000000080000448, INSTR: 0x00000f13, REG x30: 0x0000000000000000
PC: 0x000000008000044c, INSTR: 0x0040006f
PC: 0x0000000080000450, INSTR: 0x40f35bbb, REG x23: 0xffffffffffffffff
PC: 0x0000000080000454, INSTR: 0x001d0d13, REG x26: 0x0000000000000001
PC: 0x0000000080000458, INSTR: 0x002d5f13, REG x30: 0x0000000000000000
PC: 0x000000008000045c, INSTR: 0xfe0f0ae3
PC: 0x0000000080000450, INSTR: 0x40f35bbb, REG x23: 0xffffffffffffffff
PC: 0x0000000080000454, INSTR: 0x001d0d13, REG x26: 0x0000000000000002
PC: 0x0000000080000458, INSTR: 0x002d5f13, REG x30: 0x0000000000000000
PC: 0x000000008000045c, INSTR: 0xfe0f0ae3
PC: 0x0000000080000450, INSTR: 0x40f35bbb, REG x23: 0xffffffffffffffff
PC: 0x0000000080000454, INSTR: 0x001d0d13, REG x26: 0x0000000000000003
PC: 0x0000000080000458, INSTR: 0x002d5f13, REG x30: 0x0000000000000000
PC: 0x000000008000045c, INSTR: 0xfe0f0ae3
PC: 0x0000000080000450, INSTR: 0x40f35bbb, REG x23: 0xffffffffffffffff
PC: 0x0000000080000454, INSTR: 0x001d0d13, REG x26: 0x0000000000000004
PC: 0x0000000080000458, INSTR: 0x002d5f13, REG x30: 0x0000000000000001
PC: 0x000000008000045c, INSTR: 0xfe0f0ae3
PC: 0x0000000080000460, INSTR: 0x0040006f
PC: 0x0000000080000464, INSTR: 0x01dbcdb3, REG x27: 0xb5c2a1f2cf3e7029
PC: 0x0000000080000468, INSTR: 0x408250bb, REG x1: 0x0000000000032715
PC: 0x000000008000046c, INSTR: 0x4fa00193, REG x3: 0x00000000000004fa
PC: 0x0000000080000470, INSTR: 0x40d7de3b, REG x28: 0x0000000000000002
PC: 0x0000000080000474, INSTR: 0x4034dcbb, REG x25: 0xffffffffffffffe5
PC: 0x0000000080000478, INSTR: 0x410f543b, REG x8: 0x0000000000000000
PC: 0x000000008000047c, INSTR: 0xb74819b7, REG x19: 0xffffffffb7481000
PC: 0x0000000080000480, INSTR: 0x009d149b, REG x9: 0x0000000000000800
PC: 0x0000000080000484, INSTR: 0x004a4d33, REG x26: 0xecdc244aebdf5a82
PC: 0x0000000080000488, INSTR: 0x00080d37, REG x26: 0x0000000000080000
PC: 0x000000008000048c, INSTR: 0x033d0d1b, REG x26: 0x0000000000080033
PC: 0x0000000080000490, INSTR: 0x00cd1d13, REG x26: 0x0000000080033000
PC: 0x0000000080000494, INSTR: 0x5e1d0d13, REG x26: 0x00000000800335e1
PC: 0x0000000080000498, INSTR: 0xb7fd3a83, REG x21: 0x0000000000000000, MEM 0x0000000080033160
PC: 0x000000008000049c, INSTR: 0x419b52bb, REG x5: 0x00000000034871c3
PC: 0x00000000800004a0, INSTR: 0x40ea573b, REG x14: 0xfffffffffffce861
PC: 0x00000000800004a4, INSTR: 0x01285733, REG x14: 0x001826c0ec941d5e
PC: 0x00000000800004a8, INSTR: 0x40825cbb, REG x25: 0x000000000c9c5462
PC: 0x00000000800004ac, INSTR: 0x00000e93, REG x29: 0x0000000000000000
