PC: 0x00000000800002d4, INSTR: 0x00da1a13, REG x20: 0xfffdf0ee657ea000
PC: 0x00000000800002d8, INSTR: 0xfa9a0a13, REG x20: 0xfffdf0ee657e9fa9
PC: 0x00000000800002dc, INSTR: 0x00ca1a13, REG x20: 0xdf0ee657e9fa9000
PC: 0x00000000800002e0, INSTR: 0x959a0a13, REG x20: 0xdf0ee657e9fa8959
PC: 0x00000000800002e4, INSTR: 0x000f0ab7, REG x21: 0x00000000000f0000
PC: 0x00000000800002e8, INSTR: 0xc87a8a9b, REG x21: 0x00000000000efc87
PC: 0x00000000800002ec, INSTR: 0x00fa9a93, REG x21: 0x000000077e438000
PC: 0x00000000800002f0, INSTR: 0xa1fa8a93, REG x21: 0x000000077e437a1f
PC: 0x00000000800002f4, INSTR: 0x00ea9a93, REG x21: 0x0001df90de87c000
PC: 0x00000000800002f8, INSTR: 0x6bfa8a93, REG x21: 0x0001df90de87c6bf
PC: 0x00000000800002fc, INSTR: 0x00da9a93, REG x21: 0x3bf21bd0f8d7e000
PC: 0x0000000080000300, INSTR: 0xd94a8a93, REG x21: 0x3bf21bd0f8d7dd94
PC: 0x0000000080000304, INSTR: 0x00724b37, REG x22: 0x0000000000724000
PC: 0x0000000080000308, INSTR: 0x53bb0b1b, REG x22: 0x000000000072453b
PC: 0x000000008000030c, INSTR: 0x00fb1b13, REG x22: 0x00000039229d8000
PC: 0x0000000080000310, INSTR: 0xbb5b0b13, REG x22: 0x00000039229d7bb5
PC: 0x0000000080000314, INSTR: 0x00cb1b13, REG x22: 0x00039229d7bb5000
PC: 0x0000000080000318, INSTR: 0x3b9b0b13, REG x22: 0x00039229d7bb53b9
PC: 0x000000008000031c, INSTR: 0x00db1b13, REG x22: 0x72453af76a772000
PC: 0x0000000080000320, INSTR: 0xb2db0b13, REG x22: 0x72453af76a771b2d
PC: 0x0000000080000324, INSTR: 0x0044abb7, REG x23: 0x000000000044a000
PC: 0x0000000080000328, INSTR: 0xf6bb8b9b, REG x23: 0x0000000000449f6b
PC: 0x000000008000032c, INSTR: 0x00cb9b93, REG x23: 0x0000000449f6b000
