PC: 0x0000000080000418, INSTR: 0x70bf0f13, REG x30: 0x0000d754e13d570b
PC: 0x000000008000041c, INSTR: 0x00ff1f13, REG x30: 0x6baa709eab858000
PC: 0x0000000080000420, INSTR: 0x6a0f0f13, REG x30: 0x6baa709eab8586a0
PC: 0x0000000080000424, INSTR: 0x04a6cfb7, REG x31: 0x0000000004a6c000
PC: 0x0000000080000428, INSTR: 0xacdf8f9b, REG x31: 0x0000000004a6bacd
PC: 0x000000008000042c, INSTR: 0x00cf9f93, REG x31: 0x0000004a6bacd000
PC: 0x0000000080000430, INSTR: 0x5cdf8f93, REG x31: 0x0000004a6bacd5cd
PC: 0x0000000080000434, INSTR: 0x00cf9f93, REG x31: 0x0004a6bacd5cd000
PC: 0x0000000080000438, INSTR: 0x5a9f8f93, REG x31: 0x0004a6bacd5cd5a9
PC: 0x000000008000043c, INSTR: 0x00cf9f93, REG x31: 0x4a6bacd5cd5a9000
PC: 0x0000000080000440, INSTR: 0x9b2f8f93, REG x31: 0x4a6bacd5cd5a89b2
PC: 0x0000000080000444, INSTR: 0x410505bb, REG x11: 0x00000000477fd4c8
PC: 0x0000000080000448, INSTR: 0x02bc5813, REG x16: 0x000000000016a709
PC: 0x000000008000044c, INSTR: 0x40017637, REG x12: 0x0000000040017000
PC: 0x0000000080000450, INSTR: 0x00161613, REG x12: 0x000000008002e000
PC: 0x0000000080000454, INSTR: 0x77a60613, REG x12: 0x000000008002e77a
PC: 0x0000000080000458, INSTR: 0x00f61e23, MEM 0x000000008002e796: 0x000000000000f7dd
PC: 0x000000008000045c, INSTR: 0x00741033
PC: 0x0000000080000460, INSTR: 0x01625293, REG x5: 0x0000028b20ac0929
PC: 0x0000000080000464, INSTR: 0x01595633, REG x12: 0x0000000000000000
PC: 0x0000000080000468, INSTR: 0x02535c13, REG x24: 0x00000000028f9e4c
PC: 0x000000008000046c, INSTR: 0x402751bb, REG x3: 0xffffffff913e1732
PC: 0x0000000080000470, INSTR: 0x40da5233, REG x4: 0x00000000017ad678
PC: 0x0000000080000474, INSTR: 0x01e8963b, REG x12: 0x000000001bf60446
PC: 0x0000000080000478, INSTR: 0x00a76033
PC: 0x000000008000047c, INSTR: 0x02acd413, REG x8: 0x00000000003a7e57
PC: 0x0000000080000480, INSTR: 0x1ced4d13, REG x26: 0x1d68222cf923f6ec
PC: 0x0000000080000484, INSTR: 0x00000e13, REG x28: 0x0000000000000000
PC: 0x0000000080000488, INSTR: 0x00400693, REG x13: 0x0000000000000004
PC: 0x000000008000048c, INSTR: 0x0040006f
PC: 0x0000000080000490, INSTR: 0x028dd293, REG x5: 0x000000000093b721
PC: 0x0000000080000494, INSTR: 0x01e5d293, REG x5: 0x0000000000000001
PC: 0x0000000080000498, INSTR: 0x01e1da93, REG x21: 0x00000003fffffffe
PC: 0x000000008000049c, INSTR: 0x01df5493, REG x9: 0x000000035d5384f5
PC: 0x00000000800004a0, INSTR: 0x01ca1fb3, REG x31: 0x2f5acf0fac5de9d0
PC: 0x00000000800004a4, INSTR: 0x0360d313, REG x6: 0x00000000000000cb
PC: 0x00000000800004a8, INSTR: 0x00ebfb33, REG x22: 0xc01cc42290141722
PC: 0x00000000800004ac, INSTR: 0x0067d013
PC: 0x00000000800004b0, INSTR: 0x01625413, REG x8: 0x0000000000000005
PC: 0x00000000800004b4, INSTR: 0x02a95913, REG x18: 0x000000000004b230
PC: 0x00000000800004b8, INSTR: 0x40b05b1b, REG x22: 0x0000000000000000
PC: 0x00000000800004bc, INSTR: 0x01069b93, REG x23: 0x0000000000040000
PC: 0x00000000800004c0, INSTR: 0x0059d393, REG x7: 0x017df736831f4f6e
PC: 0x00000000800004c4, INSTR: 0x019014b3, REG x9: 0x0000000000000000
PC: 0x00000000800004c8, INSTR: 0x02f65b93, REG x23: 0x0000000000000000
PC: 0x00000000800004cc, INSTR: 0x4001dfb7, REG x31: 0x000000004001d000
PC: 0x00000000800004d0, INSTR: 0xa97f8f9b, REG x31: 0x000000004001ca97
PC: 0x00000000800004d4, INSTR: 0x001f9f93, REG x31: 0x000000008003952e
