PC: 0x000000008000033c, INSTR: 0x3b2b8b93, REG x23: 0xf907c769e5dd03b2
PC: 0x0000000080000340, INSTR: 0xfe86fc37, REG x24: 0xfffffffffe86f000
PC: 0x0000000080000344, INSTR: 0xd95c0c1b, REG x24: 0xfffffffffe86ed95
PC: 0x0000000080000348, INSTR: 0x00cc1c13, REG x24: 0xffffffe86ed95000
PC: 0x000000008000034c, INSTR: 0x51bc0c13, REG x24: 0xffffffe86ed9551b
PC: 0x0000000080000350, INSTR: 0x00cc1c13, REG x24: 0xfffe86ed9551b000
PC: 0x0000000080000354, INSTR: 0x753c0c13, REG x24: 0xfffe86ed9551b753
PC: 0x0000000080000358, INSTR: 0x00dc1c13, REG x24: 0xd0ddb2aa36ea6000
PC: 0x000000008000035c, INSTR: 0xab7c0c13, REG x24: 0xd0ddb2aa36ea5ab7
PC: 0x0000000080000360, INSTR: 0x000d8cb7, REG x25: 0x00000000000d8000
PC: 0x0000000080000364, INSTR: 0x379c8c9b, REG x25: 0x00000000000d8379
PC: 0x0000000080000368, INSTR: 0x00cc9c93, REG x25: 0x00000000d8379000
PC: 0x000000008000036c, INSTR: 0x683c8c93, REG x25: 0x00000000d8379683
PC: 0x0000000080000370, INSTR: 0x010c9c93, REG x25: 0x0000d83796830000
PC: 0x0000000080000374, INSTR: 0xc4dc8c93, REG x25: 0x0000d8379682fc4d
PC: 0x0000000080000378, INSTR: 0x00fc9c93, REG x25: 0x6c1bcb417e268000
PC: 0x000000008000037c, INSTR: 0xbe5c8c93, REG x25: 0x6c1bcb417e267be5
PC: 0x0000000080000380, INSTR: 0x3d636d37, REG x26: 0x000000003d636000
PC: 0x0000000080000384, INSTR: 0x925d0d1b, REG x26: 0x000000003d635925
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0x000003d635925000
PC: 0x000000008000038c, INSTR: 0xb8fd0d13, REG x26: 0x000003d635924b8f
PC: 0x0000000080000390, INSTR: 0x011d1d13, REG x26: 0x07ac6b24971e0000
PC: 0x0000000080000394, INSTR: 0x7d7d0d13, REG x26: 0x07ac6b24971e07d7
PC: 0x0000000080000398, INSTR: 0x004d1d13, REG x26: 0x7ac6b24971e07d70
PC: 0x000000008000039c, INSTR: 0x01dc1db7, REG x27: 0x0000000001dc1000
PC: 0x00000000800003a0, INSTR: 0x6b5d8d9b, REG x27: 0x0000000001dc16b5
PC: 0x00000000800003a4, INSTR: 0x00cd9d93, REG x27: 0x0000001dc16b5000
PC: 0x00000000800003a8, INSTR: 0x2a3d8d93, REG x27: 0x0000001dc16b52a3
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0x0001dc16b52a3000
PC: 0x00000000800003b0, INSTR: 0xd63d8d93, REG x27: 0x0001dc16b52a2d63
PC: 0x00000000800003b4, INSTR: 0x00ed9d93, REG x27: 0x7705ad4a8b58c000
PC: 0x00000000800003b8, INSTR: 0xb02d8d93, REG x27: 0x7705ad4a8b58bb02
PC: 0x00000000800003bc, INSTR: 0xb612de37, REG x28: 0xffffffffb612d000
PC: 0x00000000800003c0, INSTR: 0x0f3e0e1b, REG x28: 0xffffffffb612d0f3
PC: 0x00000000800003c4, INSTR: 0x010e1e13, REG x28: 0xffffb612d0f30000
PC: 0x00000000800003c8, INSTR: 0x8d9e0e13, REG x28: 0xffffb612d0f2f8d9
PC: 0x00000000800003cc, INSTR: 0x00ee1e13, REG x28: 0xed84b43cbe364000
PC: 0x00000000800003d0, INSTR: 0x47fe0e13, REG x28: 0xed84b43cbe36447f
