PC: 0x00000000800003f4, INSTR: 0x0b1f0f1b, REG x30: 0xffffffffffa140b1
PC: 0x00000000800003f8, INSTR: 0x00ff1f13, REG x30: 0xffffffd0a0588000
PC: 0x00000000800003fc, INSTR: 0x287f0f13, REG x30: 0xffffffd0a0588287
PC: 0x0000000080000400, INSTR: 0x00cf1f13, REG x30: 0xfffd0a0588287000
PC: 0x0000000080000404, INSTR: 0xbadf0f13, REG x30: 0xfffd0a0588286bad
PC: 0x0000000080000408, INSTR: 0x00cf1f13, REG x30: 0xd0a0588286bad000
PC: 0x000000008000040c, INSTR: 0xf62f0f13, REG x30: 0xd0a0588286bacf62
PC: 0x0000000080000410, INSTR: 0xe57b1fb7, REG x31: 0xffffffffe57b1000
PC: 0x0000000080000414, INSTR: 0x399f8f9b, REG x31: 0xffffffffe57b1399
PC: 0x0000000080000418, INSTR: 0x00ef9f93, REG x31: 0xfffff95ec4e64000
PC: 0x000000008000041c, INSTR: 0xf3bf8f93, REG x31: 0xfffff95ec4e63f3b
PC: 0x0000000080000420, INSTR: 0x011f9f93, REG x31: 0xf2bd89cc7e760000
PC: 0x0000000080000424, INSTR: 0xcdbf8f93, REG x31: 0xf2bd89cc7e75fcdb
PC: 0x0000000080000428, INSTR: 0x002f9f93, REG x31: 0xcaf62731f9d7f36c
PC: 0x000000008000042c, INSTR: 0x00002897, REG x17: 0x000000008000242c
PC: 0x0000000080000430, INSTR: 0xb4488893, REG x17: 0x0000000080001f70
PC: 0x0000000080000434, INSTR: 0x000880e7, REG x1: 0x0000000080000438
PC: 0x0000000080001f70, INSTR: 0xff010113, REG x2: 0x000000008004fef0
PC: 0x0000000080001f74, INSTR: 0x01c13023, MEM 0x000000008004fef0: 0xd569984e0b67023b
PC: 0x0000000080001f78, INSTR: 0xff010113, REG x2: 0x000000008004fee0
PC: 0x0000000080001f7c, INSTR: 0x00413023, MEM 0x000000008004fee0: 0x901fe920b194eb24
PC: 0x0000000080001f80, INSTR: 0xff010113, REG x2: 0x000000008004fed0
PC: 0x0000000080001f84, INSTR: 0x01913023, MEM 0x000000008004fed0: 0x9f0f9e39b8b59871
PC: 0x0000000080001f88, INSTR: 0xff010113, REG x2: 0x000000008004fec0
PC: 0x0000000080001f8c, INSTR: 0x00613023, MEM 0x000000008004fec0: 0x125a7f4b60359efd
PC: 0x0000000080001f90, INSTR: 0xff010113, REG x2: 0x000000008004feb0
PC: 0x0000000080001f94, INSTR: 0x00d13023, MEM 0x000000008004feb0: 0xfebf4f42b525cffd
PC: 0x0000000080001f98, INSTR: 0xff010113, REG x2: 0x000000008004fea0
PC: 0x0000000080001f9c, INSTR: 0x01413023, MEM 0x000000008004fea0: 0x4bc0e5fa47f358f5
PC: 0x0000000080001fa0, INSTR: 0xff010113, REG x2: 0x000000008004fe90
PC: 0x0000000080001fa4, INSTR: 0x00113023, MEM 0x000000008004fe90: 0x0000000080000438
PC: 0x0000000080001fa8, INSTR: 0xff010113, REG x2: 0x000000008004fe80
PC: 0x0000000080001fac, INSTR: 0x00f13023, MEM 0x000000008004fe80: 0xb5442f9903ce55b7
