PC: 0x0000000080000370, INSTR: 0xfee70d37, REG x26: 0xfffffffffee70000
PC: 0x0000000080000374, INSTR: 0xa8bd0d1b, REG x26: 0xfffffffffee6fa8b
PC: 0x0000000080000378, INSTR: 0x00cd1d13, REG x26: 0xffffffee6fa8b000
PC: 0x000000008000037c, INSTR: 0x709d0d13, REG x26: 0xffffffee6fa8b709
PC: 0x0000000080000380, INSTR: 0x00dd1d13, REG x26: 0xfffdcdf516e12000
PC: 0x0000000080000384, INSTR: 0x0e3d0d13, REG x26: 0xfffdcdf516e120e3
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0xdcdf516e120e3000
PC: 0x000000008000038c, INSTR: 0xebdd0d13, REG x26: 0xdcdf516e120e2ebd
PC: 0x0000000080000390, INSTR: 0xffcd8db7, REG x27: 0xffffffffffcd8000
PC: 0x0000000080000394, INSTR: 0xab3d8d9b, REG x27: 0xffffffffffcd7ab3
PC: 0x0000000080000398, INSTR: 0x00ed9d93, REG x27: 0xfffffff35eacc000
PC: 0x000000008000039c, INSTR: 0x3a1d8d93, REG x27: 0xfffffff35eacc3a1
PC: 0x00000000800003a0, INSTR: 0x00cd9d93, REG x27: 0xffff35eacc3a1000
PC: 0x00000000800003a4, INSTR: 0x6cdd8d93, REG x27: 0xffff35eacc3a16cd
PC: 0x00000000800003a8, INSTR: 0x00fd9d93, REG x27: 0x9af5661d0b668000
PC: 0x00000000800003ac, INSTR: 0x2e8d8d93, REG x27: 0x9af5661d0b6682e8
PC: 0x00000000800003b0, INSTR: 0x0031de37, REG x28: 0x000000000031d000
PC: 0x00000000800003b4, INSTR: 0xce3e0e1b, REG x28: 0x000000000031cce3
PC: 0x00000000800003b8, INSTR: 0x00ee1e13, REG x28: 0x0000000c7338c000
PC: 0x00000000800003bc, INSTR: 0x4d5e0e13, REG x28: 0x0000000c7338c4d5
PC: 0x00000000800003c0, INSTR: 0x00ce1e13, REG x28: 0x0000c7338c4d5000
PC: 0x00000000800003c4, INSTR: 0xd95e0e13, REG x28: 0x0000c7338c4d4d95
PC: 0x00000000800003c8, INSTR: 0x00ee1e13, REG x28: 0x31cce31353654000
PC: 0x00000000800003cc, INSTR: 0xdede0e13, REG x28: 0x31cce31353653ded
PC: 0x00000000800003d0, INSTR: 0x000b2eb7, REG x29: 0x00000000000b2000
PC: 0x00000000800003d4, INSTR: 0x35fe8e9b, REG x29: 0x00000000000b235f
PC: 0x00000000800003d8, INSTR: 0x00ee9e93, REG x29: 0x00000002c8d7c000
PC: 0x00000000800003dc, INSTR: 0xea1e8e93, REG x29: 0x00000002c8d7bea1
PC: 0x00000000800003e0, INSTR: 0x00fe9e93, REG x29: 0x0001646bdf508000
PC: 0x00000000800003e4, INSTR: 0x1f3e8e93, REG x29: 0x0001646bdf5081f3
PC: 0x00000000800003e8, INSTR: 0x00ce9e93, REG x29: 0x1646bdf5081f3000
PC: 0x00000000800003ec, INSTR: 0x869e8e93, REG x29: 0x1646bdf5081f2869
PC: 0x00000000800003f0, INSTR: 0x00f1cf37, REG x30: 0x0000000000f1c000
PC: 0x00000000800003f4, INSTR: 0xe49f0f1b, REG x30: 0x0000000000f1be49
PC: 0x00000000800003f8, INSTR: 0x00cf1f13, REG x30: 0x0000000f1be49000
PC: 0x00000000800003fc, INSTR: 0xd1ff0f13, REG x30: 0x0000000f1be48d1f
PC: 0x0000000080000400, INSTR: 0x00df1f13, REG x30: 0x0001e37c91a3e000
PC: 0x0000000080000404, INSTR: 0x721f0f13, REG x30: 0x0001e37c91a3e721
PC: 0x0000000080000408, INSTR: 0x00df1f13, REG x30: 0x3c6f92347ce42000
PC: 0x000000008000040c, INSTR: 0xb83f0f13, REG x30: 0x3c6f92347ce41b83
PC: 0x0000000080000410, INSTR: 0x00293fb7, REG x31: 0x0000000000293000
PC: 0x0000000080000414, INSTR: 0xdeff8f9b, REG x31: 0x0000000000292def
PC: 0x0000000080000418, INSTR: 0x00df9f93, REG x31: 0x0000000525bde000
PC: 0x000000008000041c, INSTR: 0xdc3f8f93, REG x31: 0x0000000525bdddc3
PC: 0x0000000080000420, INSTR: 0x00ef9f93, REG x31: 0x0001496f7770c000
PC: 0x0000000080000424, INSTR: 0x4fdf8f93, REG x31: 0x0001496f7770c4fd
PC: 0x0000000080000428, INSTR: 0x00df9f93, REG x31: 0x292deeee189fa000
PC: 0x000000008000042c, INSTR: 0x8ccf8f93, REG x31: 0x292deeee189f98cc
PC: 0x0000000080000430, INSTR: 0x0083d833, REG x16: 0x0000035574d848a3
PC: 0x0000000080000434, INSTR: 0x09aa7893, REG x17: 0x0000000000000098
PC: 0x0000000080000438, INSTR: 0xdefc2013
PC: 0x000000008000043c, INSTR: 0x2000f8b7, REG x17: 0x000000002000f000
PC: 0x0000000080000440, INSTR: 0xdd38889b, REG x17: 0x000000002000edd3
PC: 0x0000000080000444, INSTR: 0x00289893, REG x17: 0x000000008003b74c
PC: 0x0000000080000448, INSTR: 0x36c8e503, REG x10: 0x0000000000000000, MEM 0x000000008003bab8
PC: 0x000000008000044c, INSTR: 0x0062993b, REG x18: 0x000000005e6ca000
PC: 0x0000000080000450, INSTR: 0x100094b7, REG x9: 0x0000000010009000
PC: 0x0000000080000454, INSTR: 0x65b4849b, REG x9: 0x000000001000965b
PC: 0x0000000080000458, INSTR: 0x00349493, REG x9: 0x000000008004b2d8
PC: 0x000000008000045c, INSTR: 0xa844a683, REG x13: 0x0000000000000000, MEM 0x000000008004ad5c
PC: 0x0000000080000460, INSTR: 0x400258b7, REG x17: 0x0000000040025000
PC: 0x0000000080000464, INSTR: 0x00189893, REG x17: 0x000000008004a000
PC: 0x0000000080000468, INSTR: 0x07d88893, REG x17: 0x000000008004a07d
PC: 0x000000008000046c, INSTR: 0xabb8d903, REG x18: 0x0000000000000000, MEM 0x0000000080049b38
PC: 0x0000000080000470, INSTR: 0x012be8b3, REG x17: 0x52a8c4dedd71419b
PC: 0x0000000080000474, INSTR: 0x400250b7, REG x1: 0x0000000040025000
PC: 0x0000000080000478, INSTR: 0x00109093, REG x1: 0x000000008004a000
PC: 0x000000008000047c, INSTR: 0xdb208093, REG x1: 0x0000000080049db2
PC: 0x0000000080000480, INSTR: 0xa0e0d683, REG x13: 0x0000000000000000, MEM 0x00000000800497c0
PC: 0x0000000080000484, INSTR: 0x40024f37, REG x30: 0x0000000040024000
PC: 0x0000000080000488, INSTR: 0x827f0f1b, REG x30: 0x0000000040023827
PC: 0x000000008000048c, INSTR: 0x001f1f13, REG x30: 0x000000008004704e
PC: 0x0000000080000490, INSTR: 0xe9cf5f03, REG x30: 0x0000000000000000, MEM 0x0000000080046eea
PC: 0x0000000080000494, INSTR: 0x400212b7, REG x5: 0x0000000040021000
PC: 0x0000000080000498, INSTR: 0x00129293, REG x5: 0x0000000080042000
PC: 0x000000008000049c, INSTR: 0xcba28293, REG x5: 0x0000000080041cba
