PC: 0x00000000800003d4, INSTR: 0xc7de0e13, REG x28: 0xfffffff509e45c7d
PC: 0x00000000800003d8, INSTR: 0x00ce1e13, REG x28: 0xffff509e45c7d000
PC: 0x00000000800003dc, INSTR: 0x447e0e13, REG x28: 0xffff509e45c7d447
PC: 0x00000000800003e0, INSTR: 0x00ee1e13, REG x28: 0xd4279171f511c000
PC: 0x00000000800003e4, INSTR: 0x2bce0e13, REG x28: 0xd4279171f511c2bc
PC: 0x00000000800003e8, INSTR: 0x0296aeb7, REG x29: 0x000000000296a000
PC: 0x00000000800003ec, INSTR: 0x9a1e8e9b, REG x29: 0x00000000029699a1
PC: 0x00000000800003f0, INSTR: 0x00de9e93, REG x29: 0x00000052d3342000
PC: 0x00000000800003f4, INSTR: 0x0f3e8e93, REG x29: 0x00000052d33420f3
PC: 0x00000000800003f8, INSTR: 0x00ce9e93, REG x29: 0x00052d33420f3000
PC: 0x00000000800003fc, INSTR: 0xd1be8e93, REG x29: 0x00052d33420f2d1b
PC: 0x0000000080000400, INSTR: 0x00ce9e93, REG x29: 0x52d33420f2d1b000
PC: 0x0000000080000404, INSTR: 0x348e8e93, REG x29: 0x52d33420f2d1b348
PC: 0x0000000080000408, INSTR: 0xfc23ff37, REG x30: 0xfffffffffc23f000
PC: 0x000000008000040c, INSTR: 0xe3df0f1b, REG x30: 0xfffffffffc23ee3d
PC: 0x0000000080000410, INSTR: 0x00cf1f13, REG x30: 0xffffffc23ee3d000
PC: 0x0000000080000414, INSTR: 0x357f0f13, REG x30: 0xffffffc23ee3d357
PC: 0x0000000080000418, INSTR: 0x00cf1f13, REG x30: 0xfffc23ee3d357000
PC: 0x000000008000041c, INSTR: 0x81ff0f13, REG x30: 0xfffc23ee3d35681f
PC: 0x0000000080000420, INSTR: 0x00df1f13, REG x30: 0x847dc7a6ad03e000
PC: 0x0000000080000424, INSTR: 0x79df0f13, REG x30: 0x847dc7a6ad03e79d
PC: 0x0000000080000428, INSTR: 0x02c48fb7, REG x31: 0x0000000002c48000
PC: 0x000000008000042c, INSTR: 0x0dff8f9b, REG x31: 0x0000000002c480df
PC: 0x0000000080000430, INSTR: 0x00cf9f93, REG x31: 0x0000002c480df000
PC: 0x0000000080000434, INSTR: 0xc3bf8f93, REG x31: 0x0000002c480dec3b
PC: 0x0000000080000438, INSTR: 0x00cf9f93, REG x31: 0x0002c480dec3b000
PC: 0x000000008000043c, INSTR: 0xbadf8f93, REG x31: 0x0002c480dec3abad
PC: 0x0000000080000440, INSTR: 0x00df9f93, REG x31: 0x58901bd87575a000
PC: 0x0000000080000444, INSTR: 0x67cf8f93, REG x31: 0x58901bd87575a67c
PC: 0x0000000080000448, INSTR: 0x40022c37, REG x24: 0x0000000040022000
PC: 0x000000008000044c, INSTR: 0xa4bc0c1b, REG x24: 0x0000000040021a4b
PC: 0x0000000080000450, INSTR: 0x001c1c13, REG x24: 0x0000000080043496
PC: 0x0000000080000454, INSTR: 0xdd2c6183, REG x3: 0x0000000000000000, MEM 0x0000000080043268
PC: 0x0000000080000458, INSTR: 0x40011ab7, REG x21: 0x0000000040011000
