PC: 0x0000000080000408, INSTR: 0xe9bf0f13, REG x30: 0xffff89b47778fe9b
PC: 0x000000008000040c, INSTR: 0x00cf1f13, REG x30: 0xf89b47778fe9b000
PC: 0x0000000080000410, INSTR: 0x44af0f13, REG x30: 0xf89b47778fe9b44a
PC: 0x0000000080000414, INSTR: 0x005f2fb7, REG x31: 0x00000000005f2000
PC: 0x0000000080000418, INSTR: 0x3c9f8f9b, REG x31: 0x00000000005f23c9
PC: 0x000000008000041c, INSTR: 0x00cf9f93, REG x31: 0x00000005f23c9000
PC: 0x0000000080000420, INSTR: 0x043f8f93, REG x31: 0x00000005f23c9043
PC: 0x0000000080000424, INSTR: 0x00ef9f93, REG x31: 0x00017c8f2410c000
PC: 0x0000000080000428, INSTR: 0x0c5f8f93, REG x31: 0x00017c8f2410c0c5
PC: 0x000000008000042c, INSTR: 0x00df9f93, REG x31: 0x2f91e4821818a000
PC: 0x0000000080000430, INSTR: 0x157f8f93, REG x31: 0x2f91e4821818a157
PC: 0x0000000080000434, INSTR: 0x01e4ce33, REG x28: 0x7cca2f3674fd5fbc
PC: 0x0000000080000438, INSTR: 0x01ac17b3, REG x15: 0x9a31000000000000
PC: 0x000000008000043c, INSTR: 0x0114c633, REG x12: 0xa41d93a777ba071c
PC: 0x0000000080000440, INSTR: 0x01884db3, REG x27: 0x53ea94407bd84854
PC: 0x0000000080000444, INSTR: 0x01a44ab3, REG x21: 0xf7ad919b3834634c
PC: 0x0000000080000448, INSTR: 0x01f983bb, REG x7: 0x0000000039a7129a
PC: 0x000000008000044c, INSTR: 0x0006cdb3, REG x27: 0xb40fe3404709ca35
PC: 0x0000000080000450, INSTR: 0x00dd04b3, REG x9: 0x9a0dead1a3fa7a65
PC: 0x0000000080000454, INSTR: 0x017a109b, REG x1: 0xffffffffcd800000
PC: 0x0000000080000458, INSTR: 0x00434933, REG x18: 0x4329988c6bd06c35
PC: 0x000000008000045c, INSTR: 0x01dc4a33, REG x20: 0x47914cebda43318f
PC: 0x0000000080000460, INSTR: 0x016d9dbb, REG x27: 0xffffffff8e13946a
PC: 0x0000000080000464, INSTR: 0x00000593, REG x11: 0x0000000000000000
PC: 0x0000000080000468, INSTR: 0x00400313, REG x6: 0x0000000000000004
PC: 0x000000008000046c, INSTR: 0x0040006f
PC: 0x0000000080000470, INSTR: 0x017440b3, REG x1: 0x75b0421b0766863d
PC: 0x0000000080000474, INSTR: 0x40026837, REG x16: 0x0000000040026000
PC: 0x0000000080000478, INSTR: 0x4598081b, REG x16: 0x0000000040026459
PC: 0x000000008000047c, INSTR: 0x00181813, REG x16: 0x000000008004c8b2
PC: 0x0000000080000480, INSTR: 0xb4681023, MEM 0x000000008004c3f2: 0x0000000000000004
PC: 0x0000000080000484, INSTR: 0x40d688bb, REG x17: 0x0000000000000000
PC: 0x0000000080000488, INSTR: 0xc8009237, REG x4: 0xffffffffc8009000
PC: 0x000000008000048c, INSTR: 0x00e6c7b3, REG x15: 0xf480f1c2466bfe64
PC: 0x0000000080000490, INSTR: 0x00b44533, REG x10: 0x1253960a64c4d37c
PC: 0x0000000080000494, INSTR: 0x00158593, REG x11: 0x0000000000000001
PC: 0x0000000080000498, INSTR: 0xfc65ece3
PC: 0x0000000080000470, INSTR: 0x017440b3, REG x1: 0x75b0421b0766863d
PC: 0x0000000080000474, INSTR: 0x40026837, REG x16: 0x0000000040026000
PC: 0x0000000080000478, INSTR: 0x4598081b, REG x16: 0x0000000040026459
PC: 0x000000008000047c, INSTR: 0x00181813, REG x16: 0x000000008004c8b2
PC: 0x0000000080000480, INSTR: 0xb4681023, MEM 0x000000008004c3f2: 0x0000000000000004
PC: 0x0000000080000484, INSTR: 0x40d688bb, REG x17: 0x0000000000000000
PC: 0x0000000080000488, INSTR: 0xc8009237, REG x4: 0xffffffffc8009000
PC: 0x000000008000048c, INSTR: 0x00e6c7b3, REG x15: 0xf480f1c2466bfe64
PC: 0x0000000080000490, INSTR: 0x00b44533, REG x10: 0x1253960a64c4d37d
PC: 0x0000000080000494, INSTR: 0x00158593, REG x11: 0x0000000000000002
PC: 0x0000000080000498, INSTR: 0xfc65ece3
PC: 0x0000000080000470, INSTR: 0x017440b3, REG x1: 0x75b0421b0766863d
PC: 0x0000000080000474, INSTR: 0x40026837, REG x16: 0x0000000040026000
PC: 0x0000000080000478, INSTR: 0x4598081b, REG x16: 0x0000000040026459
PC: 0x000000008000047c, INSTR: 0x00181813, REG x16: 0x000000008004c8b2
