PC: 0x0000000080000360, INSTR: 0x3c3c8c93, REG x25: 0xffffefb524abf3c3
PC: 0x0000000080000364, INSTR: 0x00ec9c93, REG x25: 0xfbed492afcf0c000
PC: 0x0000000080000368, INSTR: 0x0b4c8c93, REG x25: 0xfbed492afcf0c0b4
PC: 0x000000008000036c, INSTR: 0xd2e01d37, REG x26: 0xffffffffd2e01000
PC: 0x0000000080000370, INSTR: 0x65bd0d1b, REG x26: 0xffffffffd2e0165b
PC: 0x0000000080000374, INSTR: 0x00dd1d13, REG x26: 0xfffffa5c02cb6000
PC: 0x0000000080000378, INSTR: 0xf63d0d13, REG x26: 0xfffffa5c02cb5f63
PC: 0x000000008000037c, INSTR: 0x012d1d13, REG x26: 0xe9700b2d7d8c0000
PC: 0x0000000080000380, INSTR: 0xdbdd0d13, REG x26: 0xe9700b2d7d8bfdbd
PC: 0x0000000080000384, INSTR: 0xffa7bdb7, REG x27: 0xffffffffffa7b000
PC: 0x0000000080000388, INSTR: 0x79bd8d9b, REG x27: 0xffffffffffa7b79b
PC: 0x000000008000038c, INSTR: 0x00cd9d93, REG x27: 0xfffffffa7b79b000
PC: 0x0000000080000390, INSTR: 0xccdd8d93, REG x27: 0xfffffffa7b79accd
PC: 0x0000000080000394, INSTR: 0x00dd9d93, REG x27: 0xffff4f6f3599a000
PC: 0x0000000080000398, INSTR: 0x6dbd8d93, REG x27: 0xffff4f6f3599a6db
PC: 0x000000008000039c, INSTR: 0x00ed9d93, REG x27: 0xd3dbcd6669b6c000
PC: 0x00000000800003a0, INSTR: 0xa1dd8d93, REG x27: 0xd3dbcd6669b6ba1d
PC: 0x00000000800003a4, INSTR: 0xfe01ee37, REG x28: 0xfffffffffe01e000
PC: 0x00000000800003a8, INSTR: 0xaade0e1b, REG x28: 0xfffffffffe01daad
PC: 0x00000000800003ac, INSTR: 0x00ce1e13, REG x28: 0xffffffe01daad000
PC: 0x00000000800003b0, INSTR: 0x4cfe0e13, REG x28: 0xffffffe01daad4cf
PC: 0x00000000800003b4, INSTR: 0x00ce1e13, REG x28: 0xfffe01daad4cf000
PC: 0x00000000800003b8, INSTR: 0xea1e0e13, REG x28: 0xfffe01daad4ceea1
PC: 0x00000000800003bc, INSTR: 0x00ce1e13, REG x28: 0xe01daad4ceea1000
PC: 0x00000000800003c0, INSTR: 0x7a9e0e13, REG x28: 0xe01daad4ceea17a9
PC: 0x00000000800003c4, INSTR: 0x06bc3eb7, REG x29: 0x0000000006bc3000
PC: 0x00000000800003c8, INSTR: 0x3a9e8e9b, REG x29: 0x0000000006bc33a9
PC: 0x00000000800003cc, INSTR: 0x00ce9e93, REG x29: 0x0000006bc33a9000
PC: 0x00000000800003d0, INSTR: 0x45be8e93, REG x29: 0x0000006bc33a945b
PC: 0x00000000800003d4, INSTR: 0x00ce9e93, REG x29: 0x0006bc33a945b000
PC: 0x00000000800003d8, INSTR: 0xc4be8e93, REG x29: 0x0006bc33a945ac4b
PC: 0x00000000800003dc, INSTR: 0x00ce9e93, REG x29: 0x6bc33a945ac4b000
PC: 0x00000000800003e0, INSTR: 0xb94e8e93, REG x29: 0x6bc33a945ac4ab94
PC: 0x00000000800003e4, INSTR: 0x00186f37, REG x30: 0x0000000000186000
PC: 0x00000000800003e8, INSTR: 0x66df0f1b, REG x30: 0x000000000018666d
PC: 0x00000000800003ec, INSTR: 0x00df1f13, REG x30: 0x000000030ccda000
PC: 0x00000000800003f0, INSTR: 0xb7ff0f13, REG x30: 0x000000030ccd9b7f
PC: 0x00000000800003f4, INSTR: 0x00ef1f13, REG x30: 0x0000c33366dfc000
PC: 0x00000000800003f8, INSTR: 0x7edf0f13, REG x30: 0x0000c33366dfc7ed
PC: 0x00000000800003fc, INSTR: 0x00df1f13, REG x30: 0x18666cdbf8fda000
PC: 0x0000000080000400, INSTR: 0x462f0f13, REG x30: 0x18666cdbf8fda462
PC: 0x0000000080000404, INSTR: 0xfe391fb7, REG x31: 0xfffffffffe391000
PC: 0x0000000080000408, INSTR: 0x8fff8f9b, REG x31: 0xfffffffffe3908ff
PC: 0x000000008000040c, INSTR: 0x00df9f93, REG x31: 0xffffffc7211fe000
PC: 0x0000000080000410, INSTR: 0x64ff8f93, REG x31: 0xffffffc7211fe64f
PC: 0x0000000080000414, INSTR: 0x00df9f93, REG x31: 0xfff8e423fcc9e000
PC: 0x0000000080000418, INSTR: 0xb55f8f93, REG x31: 0xfff8e423fcc9db55
PC: 0x000000008000041c, INSTR: 0x00cf9f93, REG x31: 0x8e423fcc9db55000
PC: 0x0000000080000420, INSTR: 0xffaf8f93, REG x31: 0x8e423fcc9db54ffa
PC: 0x0000000080000424, INSTR: 0x0175dbbb, REG x23: 0x0000000000002d2f
PC: 0x0000000080000428, INSTR: 0x2000b2b7, REG x5: 0x000000002000b000
PC: 0x000000008000042c, INSTR: 0x00229293, REG x5: 0x000000008002c000
PC: 0x0000000080000430, INSTR: 0x5c628293, REG x5: 0x000000008002c5c6
